Title,View Count
I Created The STRONGEST Character In Jujutsu Kaisen's History (Stronger Than Gojo & Sukuna),1439711
I Created The STRONGEST Character In Demon Slayer's History (Stronger Than Yoriichi),1011273
"All 12 Known Avatars In History Explained (Aang, Korra, Kyoshi, Genji...)",624715
I Created The STRONGEST Character In Anime's History (Stronger Than Goku & Saitama),568144
25 Moments Jujutsu Kaisen Characters Became Memes (Lobotomy Kaisen),426090
"All 15 Major Spirits in Avatar Explained (Vaatu, Raava, Hei Bai...)",354002
What If Muichiro Accepted Kokushibo's Offer (Demon Muichiro),351638
I Made The Strongest Character From Each Anime Battle Against Each Other (Who Is The Strongest?!),331637
Luck Decides The STRONGEST Jujutsu Kaisen Character Possible,322616
35 Record Holders in Demon Slayer You Probably Missed,288262
All Forms Of Yuta Okkotsu & A Crazy Theory About Him (Yuta vs Sukuna Outcome),194570
What If Aang Was Unfrozen From The Iceberg A Year Later,190902
I Created The STRONGEST Team Avatar In Avatar's History,185351
I Created The STRONGEST Character In Bleach's History (Stronger Than Aizen & Yhwach),115154
"The Top 30 STRONGEST Characters in Bleach (Aizen, Yhwach, Ichigo ...)",36003
